Data,Year,Most watched episode,Year,Sum of Avg. Viewers (mil),Episodes,Viewers (mil)
Estimated,2000,"""The Mansion Family""",2000,15.1,22,18.4
Estimated,1999,"""Maximum Homerdrive""",1999,15.9,23,15.5
Actual,2014,"""Steal This Episode""",2014,5,22,12.0
Actual,2013,"""Homer Goes to Prep School""",2013,5.4,22,9.0
Actual,2012,"""The D'oh-cial Network""",2012,6.2,22,11.5
Actual,2011,"""Moms I'd Like to Forget""",2011,7.1,22,12.6
Actual,2010,"""Once Upon a Time in Springfield""",2010,7.1,23,14.6
Actual,2009,"""Treehouse of Horror XIX""",2009,7.1,21,12.4
Actual,2008,"""Treehouse of Horror XVIII""",2008,8.4,20,11.7
Actual,2007,"""The Wife Aquatic""",2007,9.2,22,13.9
Actual,2006,"""Treehouse of Horror XVI""",2006,9.6,22,11.6
Actual,2005,"""Homer and Ned's Hail Mary Pass""",2005,10.2,21,23.1
Actual,2004,"""I, (Annoyed Grunt)-Bot""",2004,11,22,16.3
Actual,2003,"""I'm Spelling as Fast as I Can""",2003,14.4,22,22.1
Actual,2002,"""The Parent Rap""",2002,12.5,22,14.9
Actual,2001,"""Worst Episode Ever""",2001,15.5,21,18.6
Actual,1998,"""The Two Mrs. Nahasapeemapetilons""",1998,16.3,25,19.8
Actual,1997,"""The Springfield Files""",1997,14.5,25,20.9
Actual,1996,"""Treehouse of Horror VI""",1996,15.1,25,19.7
Actual,1995,"""Treehouse of Horror V""",1995,15.6,25,22.2
Actual,1994,"""Treehouse of Horror IV""",1994,18.9,22,24.0
Actual,1993,"""Lisa's First Word""",1993,22.4,22,28.6
Actual,1992,"""Colonel Homer""",1992,21.8,24,25.5
Actual,1991,"""Bart Gets an F""",1991,24.4,22,33.6
Actual,1990,"""Life on the Fast Lane""",1990,27.8,13,33.5
